,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
18123,NUK_K,2021-02-07 00:00:00+00:00,931.7865892857143,-13.072464285714286,61.47892857142858,0.7888869047619048,3.3275535714285716,127.77455952380953,9.172511904761903,7.407672619047618,184.73365476190477,235.33908928571432,-19.122136904761906,-5.556821428571429,57.355285714285706,-0.012000000000000302,,0.3694166666666666,False,pre
18124,NUK_K,2021-02-14 00:00:00+00:00,925.0001726190478,-10.350815476190476,83.79819642857142,1.4105357142857142,2.276982683982684,154.7649247835498,26.147470238095234,21.482535714285714,218.99277380952384,252.31327380952385,-14.722184523809526,1.2864372294372293,29.44585714285714,0.016000000000001097,,0.5179821428571428,False,pre
18125,NUK_K,2021-02-21 00:00:00+00:00,907.3533749999999,-17.422744047619048,97.2529107142857,0.8901369047619048,2.367184523809524,155.49113095238093,32.219202380952375,26.832267857142856,241.432125,233.52025595238095,-20.02250595238095,1.9069940476190477,20.314964285714286,0.045999999999999194,,0.9730416666666665,False,pre
18126,NUK_K,2021-02-28 00:00:00+00:00,910.9668571428572,-10.564398809523809,78.74679761904761,1.3217619047619047,3.071125,149.1956964285714,43.52756547619048,36.78886904761905,212.61607142857142,252.00930952380955,-14.742321428571428,-0.14320833333333338,26.37400595238095,0.02599999999999901,,0.47226785714285713,False,pre
18127,NUK_K,2021-03-07 00:00:00+00:00,927.5180416666666,-4.698136904761904,67.08432142857143,1.9252738095238098,3.226375,118.16951785714286,76.24168452380952,65.33665476190475,233.18322619047618,273.6556845238095,-9.462494047619048,-4.900662414965987,71.62830272108843,0.05199999999999988,,0.40097023809523813,False,pre
18128,NUK_K,2021-03-14 00:00:00+00:00,911.926369047619,-11.776940476190475,93.4720119047619,1.4534107142857144,1.3790799603174602,123.70838541666664,75.81102976190475,65.93733928571427,258.04399404761904,256.77970833333336,-13.881488095238097,0.005931150793650882,13.894377777777777,0.05000000000000081,,0.9043333333333333,False,pre
18129,NUK_K,2021-03-21 00:00:00+00:00,912.4674999999999,-9.747130952380953,91.49294642857141,1.6770178571428571,2.773017857142857,166.71660714285713,97.7556726190476,86.16991666666668,254.91197023809522,269.12325595238093,-10.60402380952381,-2.1771028826246215,12.005713746112773,0.3400000000000005,,0.8038511904761906,False,pre
18130,NUK_K,2021-03-28 00:00:00+00:00,917.3268511904763,-19.70839880952381,91.75298809523812,0.7046369047619047,2.96046768707483,187.4421037414966,130.66885714285715,116.76253571428572,215.12709523809525,229.14586309523816,-21.023303571428567,0.11125179738562087,12.4355954248366,-0.053000000000000796,,0.7937023809523811,False,pre
18131,NUK_K,2021-04-04 00:00:00+00:00,930.9736666666666,-7.708357142857144,87.5069523809524,2.0083571428571427,6.528637698412699,153.26954642857143,108.02351785714283,97.75986904761905,265.2823630952381,276.86305357142857,-8.915940476190476,-9.72718196969697,46.46233378787879,0.04499999999999911,0.9115,0.8194821428571428,False,pre
18132,NUK_K,2021-04-11 00:00:00+00:00,942.6189285714287,-3.258494047619048,99.65629166666668,3.105029761904762,4.5296666666666665,149.16620833333332,137.3609345238095,110.63308333333332,261.7802261904762,294.20748214285715,-4.604041666666667,-1.8446546218487399,0.8819490196078433,-0.032000000000000015,0.7855833333333333,0.6221547619047619,False,pre
18133,NUK_K,2021-04-18 00:00:00+00:00,931.1068333333334,-9.653047619047621,82.4653511904762,1.6699821428571429,2.45897619047619,169.64826785714286,193.22775595238096,152.7532261904762,223.63330952380952,263.18588095238096,-12.090630952380952,-2.654686547113124,13.800292252370054,-0.23299999999999935,0.7507571428571429,0.5103928571428572,False,pre
