,stid,date,Unnamed: 0,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downwelling_shortwave_flux,surface_downwelling_shortwave_flux_corrected,surface_upwelling_shortwave_flux,surface_upwelling_shortwave_flux_corrected,surface_albedo,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux,cloud_area_fraction,surface_temperature,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,distance_to_surface_from_stake_assembly,depth_of_pressure_transducer_in_ice,depth_of_pressure_transducer_in_ice_corrected,precipitation,precipitation_corrected,ice_temperature_at_t1,ice_temperature_at_t2,ice_temperature_at_t3,ice_temperature_at_t4,ice_temperature_at_t5,ice_temperature_at_t6,ice_temperature_at_t7,ice_temperature_at_t8,platform_view_angle_x,platform_view_angle_y,platform_azimuth_angle,gps_latitude,gps_longitude,gps_altitude,gps_time,gps_geoid_separation,gps_geounit,gps_hdop,gps_numsat,gps_q,battery_voltage,Unnamed: 49,battery_voltage_at_sample_start,fan_current,frequency_of_precipitation_wire_vibration,temperature_of_logger,temperature_of_radiation_sensor,message_latitude,message_longitude,surface_height_1,surface_height_2,z_surf_1_adj_flag,z_surf_2_adj_flag,surface_height_combined,depth_of_ice_temperature_t1,depth_of_ice_temperature_t2,depth_of_ice_temperature_t3,depth_of_ice_temperature_t4,depth_of_ice_temperature_t5,depth_of_ice_temperature_t6,depth_of_ice_temperature_t7,depth_of_ice_temperature_t8,ice_temperature_at_10m,air_pressure.1,air_temperature.1,relative_humidity.1,relative_humidity_corrected.1,specific_humidity.1,wind_speed.1,wind_from_direction.1,surface_downward_latent_heat_flux.1,surface_downward_sensible_heat_flux.1,distance_to_surface_from_boom.1,precipitation.1,precipitation_corrected.1,ice_temperature_at_t9,ice_temperature_at_t10,ice_temperature_at_t11,fan_current.1,depth_of_ice_temperature_t9,depth_of_ice_temperature_t10,depth_of_ice_temperature_t11,z_pt_cor_adj_flag,adjusted_ice_surface_height,adjusted_surface_height_1,adjusted_surface_height_2,year,day,Datetime,month,DayOfYear,DayOfCentury,season
247802,ZAK_Uv3,2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,21,2022-04-21,April,111,737776,Spring
247803,ZAK_Uv3,2022-04-22,5919026.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328625,4.827125,,,,,,,,,,,,,,,,,,,,,,,,0.42250000000000004,1.4248750000000001,2.424875,3.424875,4.424875,5.424875,6.424875,7.424875,10.424875,,,,,,,,,,,,,,,,,,,,,,-3.9324166666666667,0.5955,,2022,22,2022-04-22,April,112,737777,Spring
247804,ZAK_Uv3,2022-04-23,5919050.5,920.6521739130435,-3.452956521739131,45.2395652173913,47.03095652173913,1.4217272727272727,2.7460434782608694,261.23782608695655,191.70317391304346,194.3966818181818,167.19108695652173,157.545,,218.7665,279.6361818181818,0.15954545454545455,-7.775818181818182,-18.22740909090909,34.41940909090909,1.7353181818181818,0.45522727272727276,10.090739130434782,10.91,0.0,0.0,,-16.741363636363637,-16.311818181818182,-15.380454545454546,-14.245,-13.112727272727273,-11.985909090909091,-9.595,0.32666666666666666,5.310666666666667,213.8608695652174,74.643,-21.462913043478263,867.2173913043479,1220.3817391304347,,,0.9730434782608696,,,13.533043478260868,,,71.55391304347826,,,-1.4368260869565217,,,0.8646818181818182,0.5447727272727273,,,0.21741666666666667,1.22,2.22,3.22,4.22,5.22,6.22,7.22,10.22,-9.759363636363636,,,,,,,,,,,,,,,,,,,,,1.4272083333333334,0.42837499999999995,0.006875,2022,23,2022-04-23,April,113,737778,Spring
247805,ZAK_Uv3,2022-04-24,5919074.5,923.8260869565217,-8.570583333333333,43.24625,47.008041666666664,0.9364782608695653,3.8350833333333334,259.71958333333333,209.67004166666666,228.05354166666666,180.12391666666667,180.42920833333335,,196.51916666666668,259.665375,0.150625,-12.587833333333334,-27.747086956521738,19.86617391304348,1.9963333333333333,0.46,10.126478260869565,10.915782608695652,0.0,0.0,,-16.56416666666667,-16.22875,-15.324166666666665,-14.195,-13.080416666666666,-11.99409090909091,-9.624545454545455,0.24445833333333333,5.2320416666666665,212.8125,74.643,-21.463000000000005,867.5,1209.5120833333333,,,1.04125,,,14.128749999999998,,,74.17916666666666,,,-7.569500000000001,,,0.6036666666666667,0.54,,,0.07133333333333333,1.073875,2.073875,3.0738749999999997,4.073875,5.073875,6.073875,7.073875,10.073875,-9.6795,,,,,,,,,,,,,,,,,,,,,1.4329166666666666,0.1410833333333333,0.002,2022,24,2022-04-24,April,114,737779,Spring
247806,ZAK_Uv3,2022-04-25,5919098.5,926.1363636363636,-11.61,42.95173913043478,48.103565217391306,0.7364285714285714,3.825304347826087,248.7204347826087,225.11004347826088,248.52013636363637,191.1147391304348,196.86468181818182,,185.19554545454545,252.54895454545456,0.16013636363636363,-14.34440909090909,-14.214666666666666,25.021571428571427,2.3250454545454544,0.46340909090909094,10.155318181818181,10.92309090909091,0.0,0.0,-15.387826086956522,-16.35782608695652,-16.179565217391303,-15.32913043478261,-14.226086956521739,-13.133478260869564,-12.006086956521738,-9.641739130434784,0.20675,5.195583333333333,212.39565217391305,74.643,-21.46295652173913,868.9130434782609,1246.468695652174,,,0.971304347826087,,,14.361304347826087,,,75.03434782608696,,,-10.265695652173912,,,0.27495454545454545,0.5365909090909091,,,-0.09879166666666667,0.9037916666666667,1.9037916666666668,2.9037916666666668,3.9037916666666668,4.903791666666667,5.903791666666667,6.903791666666667,9.903791666666667,-9.567217391304348,,,,,,,,,,,,,,,,,,,,,1.439875,-0.19545833333333332,-0.0017083333333333334,2022,25,2022-04-25,April,115,737780,Spring
247807,ZAK_Uv3,2022-04-26,5919122.5,919.7083333333334,-11.204166666666666,42.13625,47.01704166666667,0.7422083333333332,2.3678333333333335,247.9958333333333,216.26691666666667,230.07500000000002,184.22133333333332,183.13141666666664,,184.0354166666667,248.75829166666665,0.13383333333333333,-15.342958333333334,-5.300958333333333,15.447416666666667,2.419166666666667,0.46412500000000007,10.089958333333334,10.917791666666666,0.0,0.0,-15.624166666666667,-16.242083333333333,-16.08375,-15.304583333333333,-14.22,-13.142083333333334,-12.005833333333333,-9.652916666666668,0.2225,5.193583333333334,212.45000000000002,74.643,-21.463000000000005,869.25,1209.5120833333333,,,0.96875,,,14.40875,,,74.66791666666667,,,-9.672583333333334,,,0.18083333333333332,0.535875,,,-0.14204166666666665,0.8605,1.8605,2.8605,3.8605,4.8605,5.860499999999999,6.860499999999999,9.8605,-9.543375,,,,,,,,,,,,,,,,,,,,,1.4345833333333333,-0.2814583333333333,-0.002125,2022,26,2022-04-26,April,116,737781,Spring
247808,ZAK_Uv3,2022-04-27,5919146.5,918.4583333333334,-13.669166666666667,51.821666666666665,59.17179166666667,0.7524583333333333,1.7505833333333332,250.77833333333334,222.92854166666666,235.38170833333334,187.03808333333333,186.76250000000002,,177.55991666666668,242.218875,0.16279166666666667,-17.05120833333333,-0.8577083333333334,10.598208333333334,2.596041666666667,0.46649999999999997,10.073916666666667,10.913166666666667,0.0,0.0,-16.05909090909091,-16.1475,-15.996666666666668,-15.267083333333334,-14.211666666666666,-13.147083333333335,-12.032916666666667,-9.667916666666667,0.2091666666666667,5.1749583333333335,212.25833333333333,74.643,-21.463000000000005,869.5833333333334,1209.5116666666665,,,0.99375,,,14.429583333333333,,,74.97041666666667,,,-11.152875,,,0.003958333333333321,0.5335,,,-0.23283333333333334,0.76975,1.7697500000000002,2.76975,3.76975,4.76975,5.769749999999999,6.769749999999999,9.76975,-9.48725,,,,,,,,,,,,,,,,,,,,,1.4300833333333334,-0.458375,-0.0045,2022,27,2022-04-27,April,117,737782,Spring
247809,ZAK_Uv3,2022-04-28,5919170.5,915.4347826086956,-10.07286956521739,47.49086956521739,52.38269565217391,0.9336363636363636,1.3569130434782608,240.0308695652174,228.17708695652175,248.8140909090909,192.57060869565217,198.18372727272728,,197.81645454545452,255.83754545454542,0.22363636363636363,-13.62090909090909,-0.2784090909090909,7.0373636363636365,2.615090909090909,0.46340909090909094,10.041521739130435,10.909304347826088,0.0,0.0,,-16.109565217391303,-15.908260869565217,-15.238695652173913,-14.232608695652175,-13.156956521739131,-12.05909090909091,-9.693636363636363,0.2840416666666667,5.201958333333333,212.82173913043476,74.643,-21.46295652173913,868.1739130434783,1246.468695652174,,,0.9721739130434782,,,14.411304347826086,,,74.57434782608696,,,-7.365869565217391,,,-0.0150909090909091,0.5365909090909091,,,-0.14412499999999998,0.8583333333333334,1.8583333333333334,2.858333333333334,3.858333333333334,4.858333333333333,5.858333333333333,6.858333333333333,9.858333333333333,-9.581954545454545,,,,,,,,,,,,,,,,,,,,,1.4261666666666668,-0.5512083333333333,-0.0017916666666666669,2022,28,2022-04-28,April,118,737783,Spring
247810,ZAK_Uv3,2022-04-29,5919194.5,916.4583333333334,-10.055416666666666,58.2775,64.38083333333334,1.1219166666666667,0.9209999999999999,233.5666666666667,230.19754166666667,240.287,191.529375,191.31820833333333,,198.59804166666666,255.164125,0.23454166666666665,-13.807541666666665,-0.14312499999999997,1.1870416666666668,2.446833333333333,0.4635,10.052291666666667,10.910499999999999,0.0,0.0,,-16.042916666666667,-15.784999999999998,-15.104999999999999,-14.219545454545454,-13.169545454545455,-12.077727272727271,-9.739090909090908,0.28579166666666667,5.183583333333333,212.6916666666667,74.643,-21.463000000000005,868.6666666666666,1209.5120833333333,,,1.0295833333333333,,,14.244166666666667,,,74.05499999999999,,,-7.321000000000001,,,0.15316666666666665,0.5365000000000001,,,-0.15562499999999999,0.8470416666666667,1.8470416666666667,2.8470416666666662,3.8470416666666662,4.847041666666667,5.847041666666667,6.847041666666667,9.847041666666668,-9.624681818181818,,,,,,,,,,,,,,,,,,,,,1.4273333333333333,-0.3092916666666667,-0.0015000000000000002,2022,29,2022-04-29,April,119,737784,Spring
247811,ZAK_Uv3,2022-04-30,5919218.5,912.1666666666666,-16.18166666666667,73.83291666666666,86.450625,0.8753333333333333,2.536958333333333,230.26416666666668,190.435875,187.6810416666667,154.63316666666665,152.03079166666666,,216.3322916666667,242.62412500000002,0.6722083333333333,-17.233291666666666,-6.571791666666667,-12.010458333333334,2.4347499999999997,0.45616666666666666,10.005916666666666,10.904166666666667,0.0,0.0,-16.080416666666668,-16.09,-15.7975,-15.166666666666666,-14.1925,-13.152916666666668,-12.068333333333333,-9.709999999999999,0.17520833333333333,5.105666666666667,211.54166666666666,74.643,-21.463000000000005,867.7083333333334,1209.5120833333333,,,0.9258333333333333,,,14.207083333333335,,,74.2075,,,-14.370833333333332,,,0.16525,0.5438333333333333,,,-0.145875,0.8567083333333333,1.8567083333333334,2.8567083333333336,3.8567083333333336,4.856708333333334,5.856708333333334,6.856708333333334,9.856708333333334,-9.597333333333333,,,,,,,,,,,,,,,,,,,,,1.421125,-0.2971666666666667,0.005833333333333334,2022,30,2022-04-30,April,120,737785,Spring
