,stid,Surface height from combined measurements,Surface height from combined measurements DELTA,Ablation,Melting Season,PC1,PC2,PC3,PC4
0,SCO_L,-6.349458333333334,-0.0630000000000006,True,middle,-0.8806903055103694,0.04556304810372006,-0.011323180724372791,-0.13780896994384548
1,SCO_L,-6.367083333333333,-0.0279999999999995,True,middle,-0.8692543720194803,0.19063545462679266,-0.038212202410524705,-0.19136367989274766
2,SCO_L,-6.405333333333334,-0.0430000000000001,True,middle,-0.9147569343148987,0.06909626678755112,-0.3241502834262787,-0.17242701972276897
3,SCO_L,-6.4431666666666665,-0.0520000000000004,True,middle,-0.7218215703861377,0.6382842088070069,0.2745217689739732,-0.14123734276678798
4,SCO_L,-6.495666666666668,-0.0439999999999995,True,middle,-0.6982532800369574,0.682048966372639,0.21005714921339633,-0.15417975272445333
5,SCO_L,-6.5477083333333335,-0.0549999999999996,True,middle,-0.6427091199977439,0.7675302838975295,0.1324665371269074,-0.16120427397182588
6,SCO_L,-6.5955,-0.0510000000000001,True,middle,-0.6785859079099804,0.7185119430846196,0.1717186504454683,-0.17346105839778087
7,SCO_L,-6.6435,-0.048,True,middle,-0.8380508749953035,0.33843253779459787,0.1195585850526353,-0.09252708236248275
8,SCO_L,-6.694708333333334,-0.0419999999999997,True,middle,-0.8577124425571999,0.2927380311893992,-0.046000622955139334,-0.08311740467601952
9,SCO_L,-6.739999999999999,-0.0409999999999994,True,middle,-0.9368481303508165,-0.03733089951946943,-0.491879394586034,-0.09539724644158264
10,SCO_L,-6.778083333333334,-0.0409999999999994,True,middle,-0.8760408881982761,0.2659263363065956,-0.16924627807297224,-0.10379990501867678
11,SCO_L,-6.817,-0.04,True,middle,-0.7387161071428093,0.5946446821520627,-0.026728481195203734,-0.10809187467321323
12,SCO_L,-6.8574166666666665,-0.0359999999999995,True,middle,-0.7344975081125003,0.6046982879876454,0.06661626284843855,-0.14683144267469428
13,SCO_L,-6.89825,-0.0370000000000008,True,middle,-0.7459169813090115,0.5922019190799269,0.0482925104514476,-0.1794508926770772
14,SCO_L,-6.938791666666667,-0.0280000000000004,True,middle,-0.7366387330334806,0.57042639228828,0.07463142564009533,-0.13529585370995054
15,SCO_L,-6.969708333333333,-0.0330000000000003,True,middle,-0.863927875225327,0.13305054050344173,0.07948886373776728,0.027702579782368238
16,SCO_L,-7.004583333333334,-0.0389999999999997,True,middle,-0.8845987636870886,0.13959349561142842,-0.18546189883142591,0.06006622948215873
17,SCO_L,-7.031666666666666,-0.0279999999999995,True,middle,-0.7431180806162242,0.570764984631111,0.12915988132292802,0.06886894279896577
18,SCO_L,-7.058166666666668,-0.024,True,middle,-0.6143630714023682,0.774360829790945,0.28560172533305545,0.16451866956315056
19,SCO_L,-7.082333333333334,-0.0340000000000006,True,middle,-0.605609934984359,0.7897482159882396,0.15579680892411046,0.06461200048352739
20,SCO_L,-7.112375,-0.0269999999999992,True,middle,-0.8508656415519942,0.2715706555313922,-0.1569001582082914,-0.006801717531213978
21,SCO_L,-7.142416666666667,-0.0230000000000005,True,middle,-0.9330887235868985,-0.0960297092938059,-0.6202108159571965,-0.056748633956971196
22,SCO_L,-7.1611666666666665,-0.0179999999999997,True,middle,-0.5824139857341794,-0.82748369291875,-0.5246365725506932,-0.157974949576116
23,SCO_L,-7.182416666666666,-0.0259999999999998,True,middle,-0.9061396876921665,0.08617370577959786,-0.24456870582916806,-0.10415281095579638
24,SCO_L,-7.210166666666667,-0.0220000000000002,True,middle,-0.8814086935882143,0.16326175048542932,-0.21546016370360732,-0.023382107200273942
25,SCO_L,-7.229,-0.0299999999999993,True,middle,-0.7457154309511749,0.5738437593219228,0.09975497940879652,0.01586107181538947
26,SCO_L,-7.254333333333334,-0.0170000000000003,True,middle,-0.8894885444696399,-0.2511937474040154,-0.4212062197584271,-0.0012979052312820966
27,SCO_L,-7.272833333333334,-0.0170000000000003,True,middle,-0.874711310792673,0.2405435852038418,-0.3206609314038707,0.03277609432849916
28,SCO_L,-7.289458333333333,-0.0199999999999995,True,middle,-0.6476157318134272,0.7227330787187255,0.0753775142457843,0.14056457439582862
29,SCO_L,-7.311333333333334,-0.0119999999999995,True,middle,-0.8440940846085861,0.3306876330614664,-0.19616240846524852,0.05803894509346663
30,SCO_L,-7.333791666666666,-0.0139999999999993,True,middle,-0.7318410203997963,-0.6721413652418489,-0.5767854409755347,-0.008452323103508281
31,SCO_L,-7.353333333333333,-0.0190000000000001,True,middle,-0.4211383212938435,-0.9496497915718725,-0.4454973762802213,-0.117145748971524
32,SCO_L,-7.364916666666667,-0.0059999999999993,True,middle,-0.7673303344995938,0.41260141971522407,0.194054288719935,0.562650852990954
33,SCO_L,-7.372166666666666,-0.0109999999999992,True,middle,-0.7131094151889552,0.5664231154474021,0.026027613859524356,0.45718935785666953
34,SCO_L,-7.381333333333333,-0.0129999999999999,True,middle,-0.6084175351170446,0.7461423607162182,0.15708637467569778,0.36973338460445887
35,SCO_L,-7.391625,0.0,True,middle,-0.6610103396980544,0.6739403149119728,0.18571602101734178,0.4312725766407082
36,SCO_L,-7.400083333333334,-0.0099999999999997,True,end,-0.7127866560893336,0.6091515734410602,0.06517749662566501,0.24031553712220555
37,SCO_L,-7.409375,-0.0040000000000004,True,end,-0.764447485430322,0.5080137919814371,0.03809643872545372,0.15348007981791292
38,SCO_L,-7.425416666666667,-0.0150000000000005,True,end,-0.8132743847377459,0.3981553790721984,-0.08820790668819785,-0.009648137027053978
39,SCO_L,-7.439708333333333,-0.008,True,end,-0.8982392688302219,0.09948248434638504,-0.34938364256425314,0.12766082703852136
40,SCO_L,-7.5515,-0.0389999999999997,True,beginning,-0.14153679380530745,-0.8974558124946911,0.19461670149109225,-0.19585454154401366
41,SCO_L,-7.589541666666666,-0.0390000000000005,True,beginning,-0.7794978711574896,-0.32996956928185134,0.33269631890540763,-0.13081257365101748
42,SCO_L,-7.623125000000001,-0.0300000000000002,True,beginning,-0.6653438074240138,-0.44831816742101815,0.49458204600103006,-0.14314793081118693
43,SCO_L,-7.6625,-0.0409999999999994,True,beginning,-0.4737337893159109,-0.6819118660947893,0.34506505908935203,-0.1247236794333227
44,SCO_L,-7.696208333333334,-0.0410000000000003,True,beginning,-0.8987173093924496,0.19230234144613914,-0.19184750829825487,-0.12249317409407527
45,SCO_L,-7.731916666666667,-0.0380000000000002,True,beginning,-0.8184252789796875,0.4307813748652075,0.19078367006805935,-0.1437157981496247
46,SCO_L,-7.772333333333333,-0.0420000000000007,True,beginning,-0.8179957814167889,0.38745185835649976,0.3541929692348759,-0.08734994731598253
47,SCO_L,-7.816291666666667,-0.0510000000000001,True,beginning,-0.8323486582827503,0.34325756502297683,0.41363165741129854,-0.1121574702204961
48,SCO_L,-7.868708333333333,-0.0499999999999998,True,beginning,-0.6848621141525515,0.702560806646941,0.36093599920481617,-0.2046152580350068
49,SCO_L,-7.914791666666666,-0.0209999999999998,True,beginning,-0.798825020471633,0.44486011426253674,0.048348416404952126,-0.18603739440814923
50,SCO_L,-7.951250000000001,-0.0599999999999996,True,beginning,-0.862843176841681,-0.04703358007166943,0.10743960500500416,-0.24465051819920494
51,SCO_L,-8.002875,-0.0580000000000007,True,beginning,-0.7222197595443591,0.643382855100592,0.45552329387266016,-0.18911261620052225
52,SCO_L,-8.059541666666666,-0.064,True,beginning,-0.8629730641802567,0.21802967177225233,0.3192056400943672,-0.1472736421866114
53,SCO_L,-8.115125,-0.0519999999999996,True,beginning,-0.8511693665381872,0.22149823984217293,0.4234405500805047,-0.17793321299796688
54,SCO_L,-8.170166666666667,-0.0489999999999994,True,beginning,-0.8329611231325696,-0.031014783616833973,0.456574341623236,-0.18300015431388045
55,SCO_L,-8.221,-0.048,True,middle,-0.6174782004528049,-0.49280442230385646,0.4664180135386876,-0.2252153301806577
56,SCO_L,-8.273583333333333,-0.0490000000000012,True,middle,-0.8594582141960272,0.27688803694383635,0.0067010488977620845,-0.17762964579385848
57,SCO_L,-8.319291666666667,-0.0380000000000002,True,middle,-0.873857250221896,-0.07779848250108372,-0.04340149477394875,-0.11798922160905384
58,SCO_L,-8.35675,-0.0350000000000001,True,middle,-0.8736240754295165,0.2734695490701218,-0.19205492404124536,-0.18573601057831357
